FULL_CU_IN,Area,Species,SMU,SMU Proper
CO-14,SOUTH COAST,Coho,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,Johnstone Strait/Mainland Inlet Coho Salmon
CO-19,SOUTH COAST,Coho,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,Johnstone Strait/Mainland Inlet Coho Salmon
CO-15,SOUTH COAST,Coho,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,Johnstone Strait/Mainland Inlet Coho Salmon
CO-12,SOUTH COAST,Coho,JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON,Johnstone Strait/Mainland Inlet Coho Salmon
CM-2,FRASER,Chum,FRASER CHUM SALMON,Fraser Chum Salmon
CK-9000,FRASER,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,Fraser Fall Run 41 Chinook Salmon
PKO-1,FRASER,Odd Year Pink,FRASER PINK SALMON - ODD,Fraser Pink Salmon - Odd
CK-22,SOUTH COAST,Chinook,LOWER GEORGIA STRAIT,Lower Georgia Strait
CK-21,SOUTH COAST,Chinook,LOWER GEORGIA STRAIT,Lower Georgia Strait
CK-25,SOUTH COAST,Chinook,LOWER GEORGIA STRAIT,Lower Georgia Strait
,SOUTH COAST,Chinook,LOWER GEORGIA STRAIT,Lower Georgia Strait
CK-34,SOUTH COAST,Chinook,MAINLAND INLET CHINOOK SALMON,Mainland Inlet Chinook Salmon
CK-35,SOUTH COAST,Chinook,MAINLAND INLET CHINOOK SALMON,Mainland Inlet Chinook Salmon
CK-28,SOUTH COAST,Chinook,MAINLAND INLET CHINOOK SALMON,Mainland Inlet Chinook Salmon
,SOUTH COAST,Chinook,MAINLAND INLET CHINOOK SALMON,Mainland Inlet Chinook Salmon
CK-23,SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT,Middle Georgia Strait
CK-27,SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT,Middle Georgia Strait
CK-83,SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT,Middle Georgia Strait
CK-20,SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT,Middle Georgia Strait
,SOUTH COAST,Chinook,MIDDLE GEORGIA STRAIT,Middle Georgia Strait
CK-58,NORTH COAST,Chinook,NASS CHINOOK SALMON,Nass Chinook Salmon
CO-35,NORTH COAST,Coho,NASS COHO SALMON,Nass Coho Salmon
CO-37,NORTH COAST,Coho,NASS COHO SALMON,Nass Coho Salmon
CO-36,NORTH COAST,Coho,NASS COHO SALMON,Nass Coho Salmon
PKE-7,NORTH COAST,Even Year Pink,NASS PINK SALMON,Nass Pink Salmon
PKE-12,NORTH COAST,Even Year Pink,NASS PINK SALMON,Nass Pink Salmon
PKO-17,NORTH COAST,Odd Year Pink,NASS PINK SALMON,Nass Pink Salmon
PKO-14,NORTH COAST,Odd Year Pink,NASS PINK SALMON,Nass Pink Salmon
PKO-18,NORTH COAST,Odd Year Pink,NASS PINK SALMON,Nass Pink Salmon
SEL-22-02,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-21-02,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-03,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-04,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-20-03,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-20-04,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-21-12,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
,SOUTH COAST,Chum,WCVI CHUM SALMON,WCVI Chum Salmon
SEL-22-05,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-20-05,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
CM-46,YUKON,Chum,PORCUPINE CHUM SALMON,Porcupine Chum Salmon
CM-46,YUKON,Chum,PORCUPINE CHUM SALMON,Porcupine Chum Salmon
CO-46,YUKON,Coho,PORCUPINE COHO SALMON,Porcupine Coho Salmon
SEL-20-06,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-21-05,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-06,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-07,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-20-07,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
CK-45,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-46,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-49,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-50,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-51,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-48,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-53,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-54,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-81,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-55,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-56,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CK-80,NORTH COAST,Chinook,SKEENA CHINOOK SALMON,Skeena Chinook Salmon
CO-31,NORTH COAST,Coho,SKEENA COHO SALMON,Skeena Coho Salmon
CO-32,NORTH COAST,Coho,SKEENA COHO SALMON,Skeena Coho Salmon
CO-33,NORTH COAST,Coho,SKEENA COHO SALMON,Skeena Coho Salmon
CO-34,NORTH COAST,Coho,SKEENA COHO SALMON,Skeena Coho Salmon
PKE-8,NORTH COAST,Even Year Pink,SKEENA PINK SALMON,Skeena Pink Salmon
PKO-15,NORTH COAST,Odd Year Pink,SKEENA PINK SALMON,Skeena Pink Salmon
PKO-16,NORTH COAST,Odd Year Pink,SKEENA PINK SALMON,Skeena Pink Salmon
SEL-21-06,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-20-08,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-21-07,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-08,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
SEL-22-09,NORTH COAST,Sockeye,SKEENA SOCKEYE SALMON,Skeena Sockeye Salmon
